dates,prices,positions,is_trade,history_balance
2012-07-31,1613.9,49.0,0.0,91055.0199999999
2012-08-01,1599.2,49.0,0.0,90334.7199999999
2012-08-02,1590.35,49.0,0.0,89901.06999999989
2012-08-03,1604.3,49.0,0.0,90584.6199999999
2012-08-06,1611.0,49.0,0.0,90912.9199999999
2012-08-07,1611.18,49.0,0.0,90921.7399999999
2012-08-08,1611.9,49.0,0.0,90957.0199999999
2012-08-09,1617.7,49.0,0.0,91241.2199999999
2012-08-10,1620.05,49.0,0.0,91356.3699999999
2012-08-13,1610.15,49.0,0.0,90871.2699999999
2012-08-14,1598.65,49.0,0.0,90307.7699999999
2012-08-15,1603.38,49.0,0.0,90539.5399999999
2012-08-16,1614.8,49.0,0.0,91099.1199999999
2012-08-17,1615.8,49.0,0.0,91148.1199999999
2012-08-20,1620.7,49.0,0.0,91388.2199999999
2012-08-21,1638.5,49.0,0.0,92260.4199999999
2012-08-22,1654.0,49.0,0.0,93019.9199999999
2012-08-23,1670.65,47.0,1.0,93835.7699999999
2012-08-24,1670.35,47.0,0.0,93821.6699999999
2012-08-27,1664.1,47.0,0.0,93527.9199999999
2012-08-28,1667.03,47.0,0.0,93665.6299999999
2012-08-29,1656.55,47.0,0.0,93173.06999999989
2012-08-30,1656.15,47.0,0.0,93154.2699999999
2012-08-31,1691.15,47.0,0.0,94799.2699999999
2012-09-03,1692.4,47.0,0.0,94858.0199999999
2012-09-04,1696.4,47.0,0.0,95046.0199999999
2012-09-05,1693.65,47.0,0.0,94916.7699999999
2012-09-06,1701.65,47.0,0.0,95292.7699999999
2012-09-07,1736.5,47.0,0.0,96930.7199999999
2012-09-10,1725.8,47.0,0.0,96427.81999999989
2012-09-11,1731.75,46.0,1.0,96707.4699999999
2012-09-12,1731.5,46.0,0.0,96695.9699999999
2012-09-13,1766.9,46.0,0.0,98324.36999999991
2012-09-14,1772.48,46.0,0.0,98581.0499999999
2012-09-17,1761.45,46.0,0.0,98073.6699999999
2012-09-18,1770.95,46.0,0.0,98510.6699999999
2012-09-19,1769.8,46.0,0.0,98457.7699999999
2012-09-20,1766.7,46.0,0.0,98315.1699999999
2012-09-21,1773.05,46.0,0.0,98607.2699999999
2012-09-24,1764.15,46.0,0.0,98197.86999999991
2012-09-25,1760.65,46.0,0.0,98036.86999999991
2012-09-26,1752.2,46.0,0.0,97648.1699999999
2012-09-27,1777.9,46.0,0.0,98830.36999999991
2012-09-28,1771.22,46.0,0.0,98523.0899999999
