date,price
2016-03-23,1220.17
2016-03-22,1248.38
2016-03-21,1243.74
2016-03-18,1255.3
2016-03-17,1257.9
2016-03-16,1263.08
2016-03-15,1232.38
2016-03-14,1235.28
2016-03-11,1248.44
2016-03-10,1271.44
2016-03-09,1252.94
2016-03-08,1261.1
2016-03-07,1267.39
2016-03-04,1259.44
2016-03-03,1263.69
2016-03-02,1240.3
2016-03-01,1232.26
2016-02-29,1238.14
2016-02-26,1222.6
2016-02-25,1234.64
2016-02-24,1229.35
2016-02-23,1227.46
2016-02-22,1208.74
2016-02-19,1228.19
2016-02-18,1232.35
2016-02-17,1209.14
2016-02-16,1200.35
2016-02-15,1209.95
2016-02-12,1238.05
2016-02-11,1246.89
2016-02-10,1197.49
2016-02-09,1188.85
2016-02-08,1191.14
2016-02-05,1173.69
2016-02-04,1155.74
2016-02-03,1142.93
2016-02-02,1129.12
2016-02-01,1128.85
2016-01-29,1118.04
2016-01-28,1115.14
2016-01-27,1125.59
2016-01-26,1120.57
2016-01-25,1108.05
2016-01-22,1098.3
2016-01-21,1101.6
2016-01-20,1101.02
2016-01-19,1087.12
2016-01-18,1088.9
2016-01-15,1089.1
2016-01-14,1078.0
2016-01-13,1093.49
2016-01-12,1087.05
2016-01-11,1094.26
2016-01-08,1104.24
2016-01-07,1109.25
2016-01-06,1094.45
2016-01-05,1077.66
2016-01-04,1074.7
2016-01-01,1060.74
2015-12-31,1061.3
2015-12-30,1061.45
2015-12-29,1068.99
2015-12-28,1069.05
2015-12-25,1075.88
2015-12-24,1075.88
2015-12-23,1070.35
2015-12-22,1072.36
2015-12-21,1078.44
2015-12-18,1066.19
2015-12-17,1051.74
2015-12-16,1072.94
2015-12-15,1060.74
2015-12-14,1062.9
2015-12-11,1074.89
2015-12-10,1071.54
2015-12-09,1073.21
2015-12-08,1074.69
2015-12-07,1070.39
2015-12-04,1086.99
2015-12-03,1062.57
2015-12-02,1053.69
2015-12-01,1069.49
2015-11-30,1064.42
2015-11-27,1058.81
2015-11-26,1072.25
2015-11-25,1071.39
2015-11-24,1075.49
2015-11-23,1069.34
2015-11-20,1078.1
2015-11-19,1082.4
2015-11-18,1071.14
2015-11-17,1070.37
2015-11-16,1082.85
2015-11-13,1083.64
2015-11-12,1085.05
2015-11-11,1086.14
2015-11-10,1089.91
2015-11-09,1092.1
2015-11-06,1088.64
2015-11-05,1103.95
2015-11-04,1107.44
2015-11-03,1117.6
2015-11-02,1133.75
2015-10-30,1142.38
2015-10-29,1145.91
2015-10-28,1156.1
2015-10-27,1166.95
2015-10-26,1163.2
2015-10-23,1164.26
2015-10-22,1166.05
2015-10-21,1167.1
2015-10-20,1176.11
2015-10-19,1170.45
2015-10-16,1177.2
2015-10-15,1183.11
2015-10-14,1185.19
2015-10-13,1168.8
2015-10-12,1164.0
2015-10-09,1157.53
2015-10-08,1138.96
2015-10-07,1145.4
2015-10-06,1147.11
2015-10-05,1135.75
2015-10-02,1138.14
2015-10-01,1113.55
2015-09-30,1115.0
2015-09-29,1127.46
2015-09-28,1132.05
2015-09-25,1146.24
2015-09-24,1154.01
2015-09-23,1130.4
2015-09-22,1124.8
2015-09-21,1133.3
2015-09-18,1139.4
2015-09-17,1131.4
2015-09-16,1119.55
2015-09-15,1105.4
2015-09-14,1108.8
2015-09-11,1107.9
2015-09-10,1111.55
2015-09-09,1106.1
2015-09-08,1121.8
2015-09-07,1119.47
2015-09-04,1123.0
2015-09-03,1125.25
2015-09-02,1134.05
2015-09-01,1140.11
2015-08-31,1134.5
2015-08-28,1133.96
2015-08-27,1125.71
2015-08-26,1125.55
2015-08-25,1140.65
2015-08-24,1155.05
2015-08-21,1161.05
2015-08-20,1153.16
2015-08-19,1134.46
2015-08-18,1118.01
2015-08-17,1117.66
2015-08-14,1114.11
2015-08-13,1115.05
2015-08-12,1125.3
2015-08-11,1109.01
2015-08-10,1104.51
2015-08-07,1094.2
2015-08-06,1089.41
2015-08-05,1085.05
2015-08-04,1087.45
2015-08-03,1086.5
2015-07-31,1095.65
2015-07-30,1088.99
2015-07-29,1096.69
2015-07-28,1095.35
2015-07-27,1094.42
2015-07-24,1099.1
2015-07-23,1090.8
2015-07-22,1093.45
2015-07-21,1101.41
2015-07-20,1096.95
2015-07-17,1134.1
2015-07-16,1145.15
2015-07-15,1149.65
2015-07-14,1155.53
2015-07-13,1158.0
2015-07-10,1163.96
2015-07-09,1159.65
2015-07-08,1158.28
2015-07-07,1155.55
2015-07-06,1170.15
2015-07-03,1167.94
2015-07-02,1166.15
2015-07-01,1168.8
2015-06-30,1172.6
2015-06-29,1180.36
2015-06-26,1175.07
2015-06-25,1173.33
2015-06-24,1175.2
2015-06-23,1178.44
2015-06-22,1185.45
2015-06-19,1200.51
2015-06-18,1201.42
2015-06-17,1185.45
2015-06-16,1181.86
2015-06-15,1186.4
2015-06-12,1180.8
2015-06-11,1182.3
2015-06-10,1186.48
2015-06-09,1176.7
2015-06-08,1173.95
2015-06-05,1172.0
2015-06-04,1176.26
2015-06-03,1185.5
2015-06-02,1193.38
2015-06-01,1189.15
2015-05-29,1190.5
2015-05-28,1188.45
2015-05-27,1188.15
2015-05-26,1187.3
2015-05-25,1207.17
2015-05-22,1206.38
2015-05-21,1206.45
2015-05-20,1209.28
2015-05-19,1207.51
2015-05-18,1225.74
2015-05-15,1223.85
2015-05-14,1221.52
2015-05-13,1215.73
2015-05-12,1193.5
2015-05-11,1184.2
2015-05-08,1188.15
2015-05-07,1184.8
2015-05-06,1191.8
2015-05-05,1193.33
2015-05-04,1188.25
2015-05-01,1178.5
2015-04-30,1184.37
2015-04-29,1204.8
2015-04-28,1212.1
2015-04-27,1202.0
2015-04-24,1179.38
2015-04-23,1194.0
2015-04-22,1187.3
2015-04-21,1202.68
2015-04-20,1196.5
2015-04-17,1204.65
2015-04-16,1197.65
2015-04-15,1202.05
2015-04-14,1193.58
2015-04-13,1198.85
2015-04-10,1208.05
2015-04-09,1195.01
2015-04-08,1202.8
2015-04-07,1208.6
2015-04-06,1214.7
2015-04-03,1210.9
2015-04-02,1202.59
2015-04-01,1204.1
2015-03-31,1183.5
2015-03-30,1186.2
2015-03-27,1199.3
2015-03-26,1204.38
2015-03-25,1195.45
2015-03-24,1193.13
2015-03-23,1189.3
2015-03-20,1182.68
2015-03-19,1171.3
2015-03-18,1167.25
2015-03-17,1149.3
2015-03-16,1154.59
2015-03-13,1159.48
2015-03-12,1153.7
2015-03-11,1154.8
2015-03-10,1161.93
2015-03-09,1167.3
2015-03-06,1167.21
2015-03-05,1198.6
2015-03-04,1199.85
2015-03-03,1203.8
2015-03-02,1207.1
2015-02-27,1213.15
2015-02-26,1209.05
2015-02-25,1204.8
2015-02-24,1199.89
2015-02-23,1201.92
2015-02-20,1202.39
2015-02-19,1207.45
2015-02-18,1212.99
2015-02-17,1209.4
2015-02-16,1231.47
2015-02-13,1229.7
2015-02-12,1222.5
2015-02-11,1219.16
2015-02-10,1234.0
2015-02-09,1239.68
2015-02-06,1233.72
2015-02-05,1264.7
2015-02-04,1270.05
2015-02-03,1260.2
2015-02-02,1275.44
2015-01-30,1283.55
2015-01-29,1257.25
2015-01-28,1285.1
2015-01-27,1292.35
2015-01-26,1281.24
2015-01-23,1294.55
2015-01-22,1301.73
2015-01-21,1293.44
2015-01-20,1293.94
2015-01-19,1277.08
2015-01-16,1280.3
2015-01-15,1261.64
2015-01-14,1229.95
2015-01-13,1230.88
2015-01-12,1233.64
2015-01-09,1223.4
2015-01-08,1208.98
2015-01-07,1210.8
2015-01-06,1219.2
2015-01-05,1204.45
2015-01-02,1189.18
2015-01-01,1181.97
2014-12-31,1183.95
2014-12-30,1200.24
2014-12-29,1183.1
2014-12-26,1195.4
2014-12-24,1173.8
2014-12-23,1175.68
2014-12-22,1175.05
2014-12-19,1195.95
2014-12-18,1198.4
2014-12-17,1188.7
2014-12-16,1196.6
2014-12-15,1192.6
2014-12-12,1222.6
2014-12-11,1227.95
2014-12-10,1226.75
2014-12-09,1230.85
2014-12-08,1203.2
2014-12-05,1192.05
2014-12-04,1205.78
2014-12-03,1209.64
2014-12-02,1199.01
2014-12-01,1210.9
2014-11-28,1167.35
2014-11-27,1191.75
2014-11-26,1197.9
2014-11-25,1201.19
2014-11-24,1197.4
2014-11-21,1201.4
2014-11-20,1193.75
2014-11-19,1183.3
2014-11-18,1197.55
2014-11-17,1186.55
2014-11-14,1188.25
2014-11-13,1161.96
2014-11-12,1160.92
2014-11-11,1164.8
2014-11-10,1150.6
2014-11-07,1176.65
2014-11-06,1141.2
2014-11-05,1141.4
2014-11-04,1168.3
2014-11-03,1165.35
2014-10-31,1174.42
2014-10-30,1198.9
2014-10-29,1211.8
2014-10-28,1228.4
2014-10-27,1225.4
2014-10-24,1231.46
2014-10-23,1232.15
2014-10-22,1241.03
2014-10-21,1249.3
2014-10-20,1246.6
2014-10-17,1238.19
2014-10-16,1239.1
2014-10-15,1241.07
2014-10-14,1232.75
2014-10-13,1237.15
2014-10-10,1223.48
2014-10-09,1224.15
2014-10-08,1221.7
2014-10-07,1209.0
2014-10-06,1207.15
2014-10-03,1191.2
2014-10-02,1213.5
2014-10-01,1213.65
2014-09-30,1209.24
2014-09-29,1215.95
2014-09-26,1219.51
2014-09-25,1222.62
2014-09-24,1217.05
2014-09-23,1222.95
2014-09-22,1215.05
2014-09-19,1216.45
2014-09-18,1225.45
2014-09-17,1223.25
2014-09-16,1235.2
2014-09-15,1233.0
2014-09-12,1228.63
2014-09-11,1240.75
2014-09-10,1248.75
2014-09-09,1256.2
2014-09-08,1255.7
2014-09-05,1268.85
2014-09-04,1261.1
2014-09-03,1269.07
2014-09-02,1265.9
2014-09-01,1287.3
2014-08-29,1287.57
2014-08-28,1290.0
2014-08-27,1282.95
2014-08-26,1280.9
2014-08-25,1276.6
2014-08-22,1281.23
2014-08-21,1277.25
2014-08-20,1292.15
2014-08-19,1295.5
2014-08-18,1297.46
2014-08-15,1304.6
2014-08-14,1313.24
2014-08-13,1312.86
2014-08-12,1308.6
2014-08-11,1308.1
2014-08-08,1309.6
2014-08-07,1313.55
2014-08-06,1306.25
2014-08-05,1288.0
2014-08-04,1288.35
2014-08-01,1294.1
2014-07-31,1282.35
2014-07-30,1295.05
2014-07-29,1298.75
2014-07-28,1304.25
2014-07-25,1308.05
2014-07-24,1293.35
2014-07-23,1304.15
2014-07-22,1307.35
2014-07-21,1311.9
2014-07-18,1310.9
2014-07-17,1318.25
2014-07-16,1299.37
2014-07-15,1294.45
2014-07-14,1307.15
2014-07-11,1338.15
2014-07-10,1335.55
2014-07-09,1326.7
2014-07-08,1318.95
2014-07-07,1320.2
2014-07-04,1320.55
2014-07-03,1319.8
2014-07-02,1327.45
2014-07-01,1325.75
2014-06-30,1327.5
2014-06-27,1315.35
2014-06-26,1317.95
2014-06-25,1319.5
2014-06-24,1318.3
2014-06-23,1318.1
2014-06-20,1314.82
2014-06-19,1320.1
2014-06-18,1278.4
2014-06-17,1271.5
2014-06-16,1271.6
2014-06-13,1277.0
2014-06-12,1273.36
2014-06-11,1260.74
2014-06-10,1260.8
2014-06-09,1252.08
2014-06-06,1252.73
2014-06-05,1253.6
2014-06-04,1243.8
2014-06-03,1244.65
2014-06-02,1244.35
2014-05-30,1251.05
2014-05-29,1256.05
2014-05-28,1258.5
2014-05-27,1263.7
2014-05-26,1293.05
2014-05-23,1293.11
2014-05-22,1293.85
2014-05-21,1291.85
2014-05-20,1294.25
2014-05-19,1291.95
2014-05-16,1293.7
2014-05-15,1296.35
2014-05-14,1305.6
2014-05-13,1293.35
2014-05-12,1295.8
2014-05-09,1289.33
2014-05-08,1289.6
2014-05-07,1289.55
2014-05-06,1307.65
2014-05-05,1309.85
2014-05-02,1300.32
2014-05-01,1284.1
2014-04-30,1291.9
2014-04-29,1296.48
2014-04-28,1296.1
2014-04-25,1303.45
2014-04-24,1293.85
2014-04-23,1283.9
2014-04-22,1283.5
2014-04-21,1290.15
2014-04-18,1293.78
2014-04-17,1294.85
2014-04-16,1302.8
2014-04-15,1302.65
2014-04-14,1326.4
2014-04-11,1318.47
2014-04-10,1318.92
2014-04-09,1311.9
2014-04-08,1308.72
2014-04-07,1296.65
2014-04-04,1302.7
2014-04-03,1287.3
2014-04-02,1289.8
2014-04-01,1279.15
2014-03-31,1284.25
2014-03-28,1294.0
2014-03-27,1291.14
2014-03-26,1304.1
2014-03-25,1311.05
2014-03-24,1309.62
2014-03-21,1334.55
2014-03-20,1328.5
2014-03-19,1331.45
2014-03-18,1356.25
2014-03-17,1366.95
2014-03-14,1382.24
2014-03-13,1370.6
2014-03-12,1367.08
2014-03-11,1349.95
2014-03-10,1339.15
2014-03-07,1340.25
2014-03-06,1351.35
2014-03-05,1337.39
2014-03-04,1334.9
2014-03-03,1350.9
2014-02-28,1326.4
2014-02-27,1331.44
2014-02-26,1330.75
2014-02-25,1340.75
2014-02-24,1337.0
2014-02-21,1323.39
2014-02-20,1322.89
2014-02-19,1311.8
2014-02-18,1321.6
2014-02-17,1329.1
2014-02-14,1318.93
2014-02-13,1302.7
2014-02-12,1291.25
2014-02-11,1291.85
2014-02-10,1274.9
2014-02-07,1267.06
2014-02-06,1257.64
2014-02-05,1258.01
2014-02-04,1255.0
2014-02-03,1257.64
2014-01-31,1243.8
2014-01-30,1243.7
2014-01-29,1268.4
2014-01-28,1256.55
2014-01-27,1257.07
2014-01-24,1269.25
2014-01-23,1264.35
2014-01-22,1236.49
2014-01-21,1241.49
2014-01-20,1254.35
2014-01-17,1253.82
2014-01-16,1242.55
2014-01-15,1241.74
2014-01-14,1245.1
2014-01-13,1253.44
2014-01-10,1247.1
2014-01-09,1228.0
2014-01-08,1226.1
2014-01-07,1232.1
2014-01-06,1238.05
2014-01-03,1236.55
2014-01-02,1224.89
2014-01-01,1205.9
2013-12-31,1205.55
2013-12-30,1196.4
2013-12-27,1213.19
2013-12-26,1210.7
2013-12-25,1204.7
2013-12-24,1204.35
2013-12-23,1198.84
2013-12-20,1203.25
