0,1,2
2014-09-03,104312.89000000001,0.012
2014-08-20,104093.36000000002,0.012
2014-08-06,110275.25,0.012
2014-07-23,109082.16000000005,0.012
2014-07-09,109554.01,0.012
2014-06-25,111221.92,0.012
2014-06-11,111190.54000000001,0.012
2014-05-28,116154.37000000001,0.012
2014-05-14,110995.86000000006,0.012
2014-04-30,112114.09999999996,0.012
2014-04-16,110327.05999999995,0.012
2014-04-02,110417.33999999995,0.012
2014-03-19,109266.95999999998,0.012
2014-03-05,113396.04,0.012
2014-02-19,112038.76999999997,0.012
2014-02-05,107891.48999999995,0.012
2014-01-22,109680.01999999996,0.012
2014-01-08,106442.45,0.012
2013-12-25,102251.22,0.012
2013-12-11,98162.74999999997,0.012
2013-11-27,98551.04999999996,0.012
2013-11-13,105091.14999999997,0.012
2013-10-30,110452.70999999995,0.012
2013-10-16,106608.85,0.012
2013-10-02,106617.78999999998,0.012
2013-09-18,111370.68000000002,0.012
2013-09-04,109590.19000000003,0.012
2013-08-21,111701.90000000008,0.012
2013-08-07,108279.20000000004,0.012
2013-07-24,106375.65000000008,0.012
2013-07-10,102939.32,0.012
2013-06-26,95588.5200000001,0.012
2013-06-12,106227.17000000013,0.012
2013-05-29,107597.44000000012,0.012
2013-05-15,103781.7400000001,0.012
2013-05-01,109000.5400000001,0.012
2013-04-17,104102.55000000009,0.012
2013-04-03,112968.55000000008,0.012
2013-03-19,110794.07000000008,0.012
2013-03-05,112463.1100000001,0.012
2013-02-19,109497.7500000001,0.012
2013-02-05,115886.65000000007,0.012
2013-01-22,112125.78000000009,0.012
2013-01-08,112460.96000000005,0.012
2012-12-25,112872.19000000006,0.012
2012-12-11,115089.77000000008,0.012
2012-11-27,118281.10000000005,0.012
2012-11-13,120396.01000000007,0.012
2012-10-30,120933.63000000008,0.012
2012-10-16,119374.7200000001,0.012
2012-10-02,122524.16000000008,0.012
2012-09-18,121617.9800000001,0.012
2012-09-04,115126.06000000004,0.012
2012-08-21,115915.26000000002,0.012
2012-08-07,112077.98,0.012
2012-07-24,111147.99,0.012
2012-07-10,105244.34999999996,0.012
2012-06-26,104861.30999999998,0.012
2012-06-12,112877.92,0.012
2012-05-29,109873.47,0.012
2012-05-15,113340.81999999999,0.012
2012-05-01,114770.64999999989,0.012
2012-04-17,107531.02999999996,0.012
2012-04-03,105463.87999999996,0.012
2012-03-20,106326.57999999996,0.012
2012-03-06,104020.28999999992,0.012
2012-02-21,109804.73999999996,0.012
2012-02-07,100114.41999999993,0.012
2012-01-24,98287.11999999994,0.012
2012-01-10,102461.01999999996,0.012
2011-12-27,95559.43000000001,0.012
2011-12-13,93578.15000000001,0.012
